,BMI,PhysicalHealth,MentalHealth,SleepTime
BMI,1.0,0.08467170878763541,0.026614199882354573,-0.043006995195085926
PhysicalHealth,0.08467170878763541,1.0,0.2789835433528487,-0.05031147701275182
MentalHealth,0.026614199882354573,0.2789835433528487,1.0,-0.11401192275061076
SleepTime,-0.043006995195085926,-0.05031147701275182,-0.11401192275061076,1.0
