,BMI,PhysicalHealth,MentalHealth,SleepTime
BMI,1.0,0.02013618725937156,0.047262337219977496,-0.03811062282946688
PhysicalHealth,0.02013618725937156,1.0,0.326538927457469,-0.09449933562914394
MentalHealth,0.047262337219977496,0.326538927457469,1.0,-0.13342242873065302
SleepTime,-0.03811062282946688,-0.09449933562914394,-0.13342242873065302,1.0
