,BMI,PhysicalHealth,MentalHealth,SleepTime
BMI,1.0,0.07777172578995813,0.032496566750587125,-0.03370131830314215
PhysicalHealth,0.07777172578995813,1.0,0.2504005450081236,-0.06921393089419639
MentalHealth,0.032496566750587125,0.2504005450081236,1.0,-0.13966865101485224
SleepTime,-0.03370131830314215,-0.06921393089419639,-0.13966865101485224,1.0
