,BMI,PhysicalHealth,MentalHealth,SleepTime
BMI,1.0,0.09270523305765116,0.05185120049560655,-0.03524331958294555
PhysicalHealth,0.09270523305765116,1.0,0.3004097043308117,-0.0721234909702056
MentalHealth,0.05185120049560655,0.3004097043308117,1.0,-0.1364636779467004
SleepTime,-0.03524331958294555,-0.0721234909702056,-0.1364636779467004,1.0
